time,node,result,start,end,node1,node2,node3,node4,node5,node6,node7,node8,real_time,now
60,"[6661461270, 8018744509, None, None, None, None, None, None]",1,6081092172,5551903399,6661461270,8018744509,,,,,,,60.4427,2021-11-18 07:12:21.224524
60,"[7902723679, 5101448655, 5586130587, 5527437605, None, None, None, None]",1,6081092172,5551903399,7902723679,5101448655,5586130587,5527437605,,,,,65.7704,2021-11-18 07:12:24.358955
60,"[7966874636, None, None, None, None, None, None, None]",1,6081092172,5551903399,7966874636,,,,,,,,57.419,2021-11-18 07:12:29.723884
60,"[4634770700, 5101341279, None, None, None, None, None, None]",1,6081092172,5551903399,4634770700,5101341279,,,,,,,66.0549,2021-11-18 07:12:37.108732
60,"[4655013475, None, None, None, None, None, None, None]",1,6081092172,5551903399,4655013475,,,,,,,,52.9468,2021-11-18 07:12:41.973736
60,"[5537488394, 7856163910, 5537917676, None, None, None, None, None]",1,6081092172,5551903399,5537488394,7856163910,5537917676,,,,,,55.1812,2021-11-18 07:12:52.291807
60,"[5091020036, 7856719841, None, None, None, None, None, None]",1,6081092172,5551903399,5091020036,7856719841,,,,,,,59.2711,2021-11-18 07:12:56.565825
60,"[4655013526, 6661482026, None, None, None, None, None, None]",1,6081092172,5551903399,4655013526,6661482026,,,,,,,60.0006,2021-11-18 07:13:03.570859
60,"[436851484, 6874889427, None, None, None, None, None, None]",1,6081092172,5551903399,436851484,6874889427,,,,,,,62.8911,2021-11-18 07:13:11.868873
60,"[4655013591, 5551904053, None, None, None, None, None, None]",1,6081092172,5551903399,4655013591,5551904053,,,,,,,68.5932,2021-11-18 07:13:15.354454
60,"[7966994785, 5539961466, None, None, None, None, None, None]",1,6081092172,5551903399,7966994785,5539961466,,,,,,,50.6176,2021-11-18 07:13:20.748386
60,"[4864256198, None, None, None, None, None, None, None]",1,6081092172,5551903399,4864256198,,,,,,,,51.5111,2021-11-18 07:13:24.224900
60,"[5101448649, 4641219031, None, None, None, None, None, None]",1,6081092172,5551903399,5101448649,4641219031,,,,,,,52.2855,2021-11-18 07:13:28.357697
60,"[5537592374, None, None, None, None, None, None, None]",1,6081092172,5551903399,5537592374,,,,,,,,58.4224,2021-11-18 07:13:40.295241
