,osmid,oneway,highway,length,geometry,ref,name,bridge,tunnel,lanes,maxspeed,service,junction,width,access
0,277944990,False,footway,42.325,"LINESTRING (128.5996146 35.8885675, 128.5997107 35.8884996, 128.5998293 35.8884288, 128.5999361 35.8883441, 128.5999689 35.8883185)",,,,,,,,,,
1,"[306234100, 277944990]",False,footway,872.2629999999998,"LINESTRING (128.5996146 35.8885675, 128.5994653 35.8886729, 128.5993371 35.888738, 128.5992017 35.8888187, 128.5986005 35.8890667, 128.598478 35.8891172, 128.5979529 35.8893188, 128.5977947 35.8893711, 128.5976757 35.8894251, 128.5975115 35.8894907, 128.5973554 35.8895543, 128.5972189 35.8896089, 128.5970798 35.889681, 128.5969516 35.8897343, 128.5964417 35.8899122, 128.5959591 35.8901658, 128.5954132 35.8904432, 128.5952679 35.8905202, 128.5951257 35.8906025, 128.5950021 35.8906643, 128.5948612 35.8907427, 128.5947399 35.8908149, 128.5946151 35.8908905, 128.5943646 35.8910572, 128.5942299 35.8911488, 128.5941096 35.8912323, 128.5939984 35.891332, 128.5938596 35.8914288, 128.593739 35.8915328, 128.5936247 35.8916274, 128.5935073 35.8917387, 128.5933864 35.8918526, 128.5932801 35.8919622, 128.593175 35.8920727, 128.5930841 35.8921658, 128.5930088 35.8922667, 128.5929458 35.8923385, 128.592868 35.892433, 128.5927308 35.892647, 128.5925111 35.8929482, 128.5924145 35.8931218, 128.5922725 35.8933694)",,,,,,,,,,
2,854302581,False,footway,136.868,"LINESTRING (128.5996146 35.8885675, 128.5993572 35.8883252, 128.599841 35.8879217, 128.6001298 35.8881802)",,,,,,,,,,
3,854302580,False,footway,43.808,,,,,,,,,,,
4,277944990,False,footway,152.955,"LINESTRING (128.6002685 35.8880661, 128.6003505 35.8879548, 128.6004211 35.8878717, 128.6005173 35.8877548, 128.6005786 35.8876615, 128.6006486 35.8875637, 128.6007223 35.8874466, 128.6007827 35.8873424, 128.6008346 35.8872249, 128.6008882 35.8871149, 128.6009387 35.8869885, 128.6009867 35.8868695, 128.6009985 35.8868326)",,,,,,,,,,
5,277944990,False,footway,17.808999999999997,"LINESTRING (128.6002685 35.8880661, 128.6001418 35.8881693, 128.6001298 35.8881802)",,,,,,,,,,
6,55695952,False,primary,95.44,,4;25,동북로,,,,,,,,
7,579775426,False,primary_link,23.86,,,,,,,,,,,
8,"[55483212, 32606805]",False,primary,594.704,"LINESTRING (128.6126108 35.8986034, 128.613835 35.898105, 128.6148842 35.8976978, 128.615065 35.8975524, 128.6152149 35.8974319, 128.6157373 35.8970817, 128.6175953 35.8955292, 128.6177875 35.8953929)",4;25,"['동북로', '복현고가차도']",yes,,,,,,,
9,55483226,False,primary_link,61.602,"LINESTRING (128.6126108 35.8986034, 128.6127813 35.898456, 128.6131019 35.8983188, 128.6131658 35.898292)",,,,,,,,,,
10,474159852,False,service,21.48,,,,,,,,,,,
11,474159852,False,service,111.108,"LINESTRING (128.5594235 35.9407158, 128.5595079 35.9407116, 128.5599269 35.9406567, 128.5599669 35.940764, 128.5595602 35.9408064, 128.5594235 35.9407158)",,,,,,,,,,
12,474159852,False,service,111.10799999999999,"LINESTRING (128.5594235 35.9407158, 128.5595602 35.9408064, 128.5599669 35.940764, 128.5599269 35.9406567, 128.5595079 35.9407116, 128.5594235 35.9407158)",,,,,,,,,,
13,55779762,False,trunk,1425.797,"LINESTRING (128.5562503 35.8951516, 128.5578704 35.895534, 128.5588574 35.8958469, 128.560338 35.8965508, 128.5618009 35.8974128, 128.5618722 35.8974548, 128.5629262 35.8982847, 128.5630202 35.8983587, 128.5637751 35.8989996, 128.5648012 35.8998708, 128.565799 35.9006965, 128.5660868 35.9008873, 128.5669792 35.9014787, 128.5685241 35.9023129, 128.5689477 35.9024939)",,신천대로,,,,,,,,
14,760612292,False,trunk_link,368.575,"LINESTRING (128.5562503 35.8951516, 128.554689 35.8947302, 128.5530759 35.8942603, 128.5526975 35.8941434, 128.552403 35.8940286)",,,,,,,,,,
15,"[55695939, 532888812, 532888813]",False,trunk,721.2189999999999,"LINESTRING (128.5910266 35.8958781, 128.591075 35.8953185, 128.5911729 35.8948362, 128.5912679 35.894462, 128.5913914 35.8940996, 128.5915748 35.8937029, 128.5918057 35.8932829, 128.5920203 35.8929266, 128.5924955 35.8922986, 128.5929438 35.8917708, 128.5933244 35.8913755, 128.5939969 35.8908023, 128.5946717 35.8903199)","['11', '3']","['신천대로', '성북교지하차도']",,yes,2,80,,,,
16,55695939,False,trunk,215.904,"LINESTRING (128.5910266 35.8958781, 128.5910266 35.8967682, 128.591052 35.897093, 128.591118 35.8975294, 128.5911765 35.8978119)",11,신천대로,,,,,,,,
17,532888817,False,trunk_link,338.155,"LINESTRING (128.5910266 35.8958781, 128.5910006 35.8953856, 128.5910194 35.8951379, 128.5911588 35.8945404, 128.5912929 35.8941384, 128.5914378 35.8937864, 128.591655 35.8933475, 128.5918857 35.8929585)",,,,,,,,,,
18,55483223,False,trunk_link,174.10399999999998,"LINESTRING (128.596377 35.8894315, 128.5972814 35.8889352, 128.5980259 35.8886195)",,,,,,,,,,
19,"[55483221, 55483213, 532888813]",False,trunk,801.4340000000001,"LINESTRING (128.596377 35.8894315, 128.5967265 35.8892757, 128.5979918 35.8886909, 128.5981035 35.8886241, 128.5989082 35.8882069, 128.5992286 35.8879741, 128.5994553 35.8877897, 128.5998523 35.8874072, 128.6002707 35.886764, 128.6005821 35.8859091, 128.6006522 35.8853915, 128.6007576 35.883824)",11,신천대로,,yes,2,80,,,,
20,532888813,False,trunk,182.841,"LINESTRING (128.596377 35.8894315, 128.5959373 35.8896276, 128.5950967 35.8900664, 128.5946717 35.8903199)",11,신천대로,,,2,80,,,,
21,826189671,False,trunk_link,128.28,,,,,,,,,,,
22,"[55779522, 55779527, 32813618, 55483221, 32813622]",False,trunk,1282.5559999999998,"LINESTRING (128.6007576 35.883824, 128.6007977 35.8835191, 128.6011545 35.8820527, 128.6012601 35.8817929, 128.601396 35.8814649, 128.6017793 35.8808293, 128.6025882 35.8795665, 128.6037469 35.8780626, 128.6044335 35.8773758, 128.6053562 35.8765847, 128.6064291 35.8759327, 128.6076844 35.8752721, 128.6084968 35.8748506, 128.6086599 35.874766)",,"['신천고가차도', '신천대로']",yes,,2,,,,,
23,"[532888813, 55483213, 55483221]",False,trunk,801.434,"LINESTRING (128.6007576 35.883824, 128.6006522 35.8853915, 128.6005821 35.8859091, 128.6002707 35.886764, 128.5998523 35.8874072, 128.5994553 35.8877897, 128.5992286 35.8879741, 128.5989082 35.8882069, 128.5981035 35.8886241, 128.5979918 35.8886909, 128.5967265 35.8892757, 128.596377 35.8894315)",11,신천대로,,yes,2,80,,,,
24,55483208,False,trunk,204.458,"LINESTRING (128.5965639 35.8893977, 128.5955339 35.8898801, 128.5946917 35.8904277)",11,신천대로,,,,,,,,
25,"[55483208, 32813620, 55483214]",False,trunk,816.911,"LINESTRING (128.5965639 35.8893977, 128.5980539 35.8887584, 128.5981679 35.8887024, 128.5989725 35.8882721, 128.5992953 35.8880238, 128.5995412 35.8878375, 128.5999328 35.8874507, 128.600378 35.88679, 128.6006627 35.8859264, 128.6007364 35.8854661, 128.6008623 35.8841895, 128.600891 35.8838712, 128.6009181 35.8836248)",11,신천대로,,yes,2,,,,,
26,579775395,False,trunk_link,159.601,"LINESTRING (128.5965639 35.8893977, 128.597369 35.8891211, 128.5981894 35.8888269)",,,,,,,,,,
27,"[55483208, 532888814, 532888815]",False,trunk,478.76,"LINESTRING (128.5946917 35.8904277, 128.5938388 35.8910318, 128.5931146 35.8917097, 128.5926157 35.8922965, 128.5920658 35.8930401, 128.5917856 35.8935111, 128.5916014 35.8938704)",11,"['신천대로', '성북교지하차도']",,yes,2,80,,,,
28,55483208,False,trunk,204.458,"LINESTRING (128.5946917 35.8904277, 128.5955339 35.8898801, 128.5965639 35.8893977)",11,신천대로,,,,,,,,
29,532888831,False,trunk_link,293.482,"LINESTRING (128.5946917 35.8904277, 128.5945672 35.8905384, 128.5943335 35.890746, 128.5939473 35.8910437, 128.593486 35.8914425, 128.5931292 35.8917988, 128.5928126 35.8921784, 128.5927215 35.8922877, 128.5925995 35.8924398)",,,,,,,,,,
30,879502650,False,trunk_link,77.346,,,,,,,,,,,
31,55695959,False,trunk,736.363,"LINESTRING (128.5874262 35.9036167, 128.584966 35.9036122, 128.5823375 35.9036556, 128.5810725 35.903692, 128.5792531 35.9037443)",11,신천대로,,,,,,,,
32,"[55695944, 532888815, 55695959]",False,trunk,854.706,"LINESTRING (128.5874262 35.9036167, 128.5883307 35.9035391, 128.5888912 35.903419, 128.5893347 35.903274, 128.5900408 35.9028821, 128.5904916 35.9025661, 128.59085 35.9022501, 128.5911854 35.9018636, 128.5914345 35.9014571, 128.5915843 35.9011766, 128.5917154 35.9009584, 128.5918808 35.9004792, 128.5918759 35.9000492, 128.5918536 35.8997984, 128.5918043 35.8995186, 128.5917249 35.8991762, 128.5914961 35.8984348, 128.5913653 35.8980092)",11,"['신천대로', '침산지하차도']",,yes,2,80,,,,
33,43545580,False,trunk,943.2860000000001,"LINESTRING (128.5646188 35.8999665, 128.5637712 35.8992277, 128.5626769 35.8982891, 128.5625067 35.8981619, 128.5617113 35.8975678, 128.5612856 35.89731, 128.5605633 35.8968725, 128.5594261 35.8963075, 128.5585785 35.8959425, 128.5577523 35.8956992, 128.5561216 35.8952733)",,신천대로,,,,,,,,
34,43545580,False,trunk,352.063,"LINESTRING (128.5646188 35.8999665, 128.5656702 35.9007921, 128.5668504 35.901609, 128.5675841 35.9020199)",,신천대로,,,,,,,,
35,"[55779696, 55779692]",False,trunk_link,350.545,"LINESTRING (128.5646188 35.8999665, 128.5654136 35.9007043, 128.5656547 35.9009236, 128.565699 35.9010671, 128.565699 35.9011907, 128.5656449 35.9013143, 128.5651133 35.9021037, 128.5648217 35.902631)",,,yes,,,,,,,
36,43545580,False,trunk,943.2860000000001,"LINESTRING (128.5561216 35.8952733, 128.5577523 35.8956992, 128.5585785 35.8959425, 128.5594261 35.8963075, 128.5605633 35.8968725, 128.5612856 35.89731, 128.5617113 35.8975678, 128.5625067 35.8981619, 128.5626769 35.8982891, 128.5637712 35.8992277, 128.5646188 35.8999665)",,신천대로,,,,,,,,
37,55779763,False,trunk_link,367.39399999999995,"LINESTRING (128.5561216 35.8952733, 128.5548102 35.8950129, 128.5540906 35.8948239, 128.5532058 35.8945994, 128.5527487 35.8944773, 128.5523306 35.8943, 128.5522485 35.8942673)",,,,,,,,,,
38,55691928,False,trunk,30.682,,,서변남로,,,,,,,,
39,55691928,False,trunk,33.464,,,서변남로,,,,,,,,
40,55691917,False,trunk_link,154.77100000000002,"LINESTRING (128.5983197 35.9161524, 128.5987111 35.9163501, 128.5989141 35.9164869, 128.599094 35.9166729, 128.5992 35.9168874, 128.599264 35.9172205)",,,,,,,,,,
41,"[822099696, 32815662, 822099694]",False,trunk_link,537.497,"LINESTRING (128.5845001 35.905603, 128.5841667 35.9047593, 128.5841077 35.9045334, 128.5841345 35.9043117, 128.5841989 35.9040945, 128.5843921 35.9038468, 128.5846227 35.9036904, 128.5849339 35.903547, 128.5852289 35.9035416, 128.5864693 35.9035242, 128.5871625 35.9035417, 128.587865 35.9035217, 128.5879496 35.9035116)",,,yes,,,,,,,
42,"[822094726, 32815663]",False,"['trunk', 'trunk_link']",581.9760000000001,"LINESTRING (128.5845001 35.905603, 128.5842955 35.905146, 128.58392 35.9046072, 128.5836625 35.9042509, 128.5833299 35.9039988, 128.5828256 35.9038077, 128.5822034 35.9037642, 128.5807013 35.9037729, 128.5797465 35.9037642, 128.5792531 35.9037443)",,서변대교,yes,,,,,,,
43,"[32815663, 32815665, 32815666, 32815670, 32815671, 55691928]",False,trunk,1788.2140000000004,"LINESTRING (128.5845001 35.905603, 128.5847986 35.9066543, 128.5851191 35.9074908, 128.5858305 35.9095629, 128.5860813 35.9103318, 128.5861767 35.9107238, 128.5865807 35.9117242, 128.5868275 35.9121935, 128.5871708 35.9125845, 128.5875141 35.9128278, 128.5878897 35.9130016, 128.5883188 35.9131146, 128.5891878 35.9132623, 128.5909366 35.9136185, 128.5923099 35.9139574, 128.5937369 35.9143919, 128.5962978 35.9152671, 128.5972112 35.9156341)",서변남로,"['서변대교', '서변남로']",yes,,,,,,,
44,"[43545584, 43545580, 55695959]",False,trunk,304.323,"LINESTRING (128.5792531 35.9037443, 128.5789995 35.9037409, 128.5787437 35.903752, 128.5775041 35.9037947, 128.5758759 35.9038077)",11,신천대로,yes,,,,,,,
45,55695959,False,trunk,736.3629999999999,"LINESTRING (128.5792531 35.9037443, 128.5810725 35.903692, 128.5823375 35.9036556, 128.584966 35.9036122, 128.5874262 35.9036167)",11,신천대로,,,,,,,,
46,469843841,False,trunk_link,306.438,"LINESTRING (128.5792531 35.9037443, 128.5809516 35.9038842, 128.5818885 35.9039862, 128.5826296 35.9040779)",,,,,,,,,,
