,osmid,oneway,highway,length,geometry,name,bridge,lanes,ref,maxspeed,tunnel,service,junction,width,access
0,277944990,FALSE,footway,42.325,"LINESTRING (128.5996146 35.8885675, 128.5997107 35.8884996, 128.5998293 35.8884288, 128.5999361 35.8883441, 128.5999689 35.8883185)",,,,,,,,,,
1,"[306234100, 277944990]",FALSE,footway,872.263,"LINESTRING (128.5996146 35.8885675, 128.5994653 35.8886729, 128.5993371 35.888738, 128.5992017 35.8888187, 128.5986005 35.8890667, 128.598478 35.8891172, 128.5979529 35.8893188, 128.5977947 35.8893711, 128.5976757 35.8894251, 128.5975115 35.8894907, 128.5973554 35.8895543, 128.5972189 35.8896089, 128.5970798 35.889681, 128.5969516 35.8897343, 128.5964417 35.8899122, 128.5959591 35.8901658, 128.5954132 35.8904432, 128.5952679 35.8905202, 128.5951257 35.8906025, 128.5950021 35.8906643, 128.5948612 35.8907427, 128.5947399 35.8908149, 128.5946151 35.8908905, 128.5943646 35.8910572, 128.5942299 35.8911488, 128.5941096 35.8912323, 128.5939984 35.891332, 128.5938596 35.8914288, 128.593739 35.8915328, 128.5936247 35.8916274, 128.5935073 35.8917387, 128.5933864 35.8918526, 128.5932801 35.8919622, 128.593175 35.8920727, 128.5930841 35.8921658, 128.5930088 35.8922667, 128.5929458 35.8923385, 128.592868 35.892433, 128.5927308 35.892647, 128.5925111 35.8929482, 128.5924145 35.8931218, 128.5922725 35.8933694)",,,,,,,,,,
2,854302581,FALSE,footway,136.868,"LINESTRING (128.5996146 35.8885675, 128.5993572 35.8883252, 128.599841 35.8879217, 128.6001298 35.8881802)",,,,,,,,,,
3,854302580,FALSE,footway,43.808,,,,,,,,,,,
4,277944990,FALSE,footway,152.955,"LINESTRING (128.6002685 35.8880661, 128.6003505 35.8879548, 128.6004211 35.8878717, 128.6005173 35.8877548, 128.6005786 35.8876615, 128.6006486 35.8875637, 128.6007223 35.8874466, 128.6007827 35.8873424, 128.6008346 35.8872249, 128.6008882 35.8871149, 128.6009387 35.8869885, 128.6009867 35.8868695, 128.6009985 35.8868326)",,,,,,,,,,
5,277944990,FALSE,footway,17.809,"LINESTRING (128.6002685 35.8880661, 128.6001418 35.8881693, 128.6001298 35.8881802)",,,,,,,,,,
6,277944990,FALSE,footway,366.375,"LINESTRING (128.601221 35.8835477, 128.601192 35.88391, 128.601192 35.884007, 128.601185 35.884127, 128.601177 35.884255, 128.601173 35.884368, 128.6011497 35.8854261, 128.6011375 35.8855403, 128.6011396 35.8856568, 128.6011382 35.8857866, 128.601093 35.8863445, 128.6010756 35.886449, 128.6010671 35.8865293, 128.6010532 35.886649, 128.6010282 35.8867395, 128.6009985 35.8868326)",,,,,,,,,,
7,306234103,FALSE,cycleway,366.741,"LINESTRING (128.601221 35.8835477, 128.6011836 35.8836191, 128.6011538 35.8839073, 128.6011018 35.8846172, 128.6010395 35.8852787, 128.6010032 35.8853197, 128.6009655 35.8856584, 128.6009902 35.8857835, 128.6009344 35.8860633, 128.6008149 35.8865365, 128.6006735 35.8866375, 128.6006217 35.8867504)",신천자전거길,,,,,,,,,
8,854279121,FALSE,footway,401.118,"LINESTRING (128.601221 35.8835477, 128.6012595 35.8835328, 128.6013062 35.8829766, 128.6013202 35.8828669, 128.6014837 35.882148, 128.6015958 35.8818339, 128.6017359 35.8814064, 128.6024465 35.8801251)",,,,,,,,,,
9,"[389180005, 43543301, 389180007]",TRUE,motorway_link,543.074,"LINESTRING (128.5195305 35.8935557, 128.519914 35.8934254, 128.5203539 35.8933428, 128.5207241 35.8932798, 128.5212471 35.8931494, 128.5217218 35.8930016, 128.5225265 35.8927322, 128.523358 35.8924562, 128.5237549 35.8923259, 128.524117 35.8921499, 128.5243504 35.8920173, 128.524573 35.8918304, 128.5248868 35.8915132)",,yes,,,,,,,,
10,"[389180008, 306642474, 389180006]",TRUE,motorway,111.406,"LINESTRING (128.5195305 35.8935557, 128.5199408 35.8935058, 128.5203727 35.8934275, 128.5207455 35.893371)",경부고속도로,yes,2,1,100,,,,,
11,"[44668992, 44668985, 306547138, 44668988, 44668975, 800593041, 800593042, 306547123, 306547125, 306547127, 44668991, 306547129, 306547132, 44668989, 306547135]",TRUE,motorway,4311.421,"LINESTRING (128.5326874 35.8934312, 128.5352172 35.8940607, 128.5371241 35.894547, 128.5374483 35.8946395, 128.5380472 35.8947981, 128.5386658 35.8949426, 128.5392791 35.8950699, 128.5397894 35.8951838, 128.5404472 35.8953133, 128.5410638 35.8954338, 128.5421367 35.8956477, 128.5431449 35.8958156, 128.5440982 35.8959791, 128.5446023 35.8960812, 128.5469693 35.8965433, 128.5478894 35.8967173, 128.5496606 35.8970958, 128.5501831 35.8972071, 128.5506866 35.8973394, 128.5510443 35.8974481, 128.5513807 35.8975867, 128.5517159 35.8977258, 128.5519827 35.8978618, 128.5524326 35.8981296, 128.5528171 35.8983763, 128.5531573 35.8986415, 128.5533238 35.8987687, 128.5535768 35.8990166, 128.5540835 35.8995295, 128.5541412 35.8995829, 128.5550286 35.9005879, 128.5555466 35.9011661, 128.5563196 35.902004, 128.5565907 35.9022507, 128.5570048 35.9026116, 128.5575134 35.9029787, 128.5578768 35.9031962, 128.5584493 35.903487, 128.5590753 35.9037225, 128.5599025 35.9039824, 128.5609338 35.9042771, 128.5623416 35.9046859, 128.563304 35.9049592, 128.5636113 35.9050547, 128.5677724 35.9062549, 128.5684766 35.9064477, 128.5695919 35.9067184, 128.5706111 35.9069274, 128.5713197 35.9070454, 128.5718476 35.9071544, 128.5730203 35.9074063, 128.5742862 35.9076507, 128.5757678 35.9079454)",경부고속도로,yes,2,1;55,100,,,,,
12,"[44668977, 306547138, 44668994]",TRUE,motorway,578.674,"LINESTRING (128.5757678 35.9079454, 128.5769499 35.908216, 128.5775656 35.9083463, 128.5796891 35.9087555, 128.5819984 35.909214)",경부고속도로,yes,2,"['1;55', '1']",100,,,,,
13,"[406869469, 406869476, 32815698, 32815708, 32815709]",TRUE,motorway_link,896.842,"LINESTRING (128.5757678 35.9079454, 128.5769958 35.9080941, 128.5778557 35.9081982, 128.5781132 35.9082156, 128.5783278 35.9081895, 128.5785489 35.9081203, 128.5787326 35.9080616, 128.5794782 35.9077443, 128.5797111 35.9076584, 128.5799557 35.9075966, 128.5801645 35.9075762, 128.5803741 35.9075966, 128.5805379 35.9076331, 128.5806906 35.9076922, 128.5808606 35.9077871, 128.5810178 35.9079094, 128.5811074 35.9080233, 128.581168 35.9081354, 128.5812149 35.9082469, 128.5812378 35.90837, 128.581227 35.9086611, 128.5811788 35.9092781, 128.581168 35.9096257, 128.58127 35.9099472, 128.5814202 35.9101601, 128.5816508 35.9103904, 128.5819942 35.9105641, 128.5827002 35.9107565)",,yes,,,,,,,,
14,43543299,TRUE,motorway_link,313.872,"LINESTRING (128.5326185 35.8936039, 128.5311248 35.8932847, 128.5304097 35.893132, 128.5298324 35.8930114, 128.5292437 35.8929025)",,,,,,,,,,
15,"[389180010, 389180011, 306547118]",TRUE,motorway,1199.379,"LINESTRING (128.5326185 35.8936039, 128.5320182 35.8934238, 128.5314247 35.8932715, 128.5300293 35.892911, 128.529427 35.8927801, 128.5283866 35.8926405, 128.5278721 35.8925994, 128.5273831 35.892593, 128.5263701 35.8926274, 128.5255184 35.8927335, 128.5240106 35.8929439, 128.522269 35.893282, 128.5204102 35.8935862, 128.5199757 35.8936622, 128.5196297 35.8937578)",경부고속도로,yes,2,1,100,,,,,
16,55695952,FALSE,primary,95.44,,동북로,,,4;25,,,,,,
17,"[55483212, 32606805]",FALSE,primary,594.704,"LINESTRING (128.6126108 35.8986034, 128.613835 35.898105, 128.6148842 35.8976978, 128.615065 35.8975524, 128.6152149 35.8974319, 128.6157373 35.8970817, 128.6175953 35.8955292, 128.6177875 35.8953929)","['복현고가차도', '동북로']",yes,,4;25,,,,,,
